,Unnamed: 0,Unnamed: 0.1,Title,Year,IMDB Rating,Age Restriction,Genre,Language,Runtime,Country,Type,Release Date,OTT Release Date,OTT,OTT Year
6123,6123,6123,A Second Chance,2015,7.1,Not Rated,Drama,"Filipino, Tagalog",180,"Australia,Russia,Singapore,India,Hungary,Slovakia,Lithuania,United Kingdom,Canada,South Africa,Hong Kong,United States,Romania,Mexico,South Korea,Israel,Japan,Thailand,Argentina,Czech Republic,Portugal,Poland,France,Brazil,Iceland,Italy,Spain,Greece,Switzerland,Netherlands,Germany,Sweden,Belgium,Turkey,Malaysia,Colombia",Movie,25-11-2015,2019-02-26,Netflix,2019
6124,6124,6124,It Takes a Man and a Woman,2013,6.7,TV-PG,"Comedy, Drama, Romance","Filipino, Tagalog",180,"Australia,Singapore,Russia,India,Hungary,Slovakia,Lithuania,Israel,United Kingdom,South Africa,Hong Kong,Romania,United States,Mexico,South Korea,Japan,Thailand,Argentina,Czech Republic,Portugal,France,Switzerland,Netherlands,Germany,Sweden,Poland,Brazil,Iceland,Italy,Spain,Greece,Belgium,Turkey,Colombia",Movie,23-04-2013,2019-02-26,Netflix,2019
6125,6125,6125,My Ex and Whys,2017,6.2,Not Rated,Drama,"Filipino, Tagalog",180,"Singapore,South Korea,Russia,Lithuania,Slovakia,Hong Kong,South Africa,Mexico,Romania,United States,Australia,India,United Kingdom,Canada,Israel,Japan,Thailand,Hungary,Argentina,Czech Republic,Portugal,France,Germany,Sweden,Poland,Brazil,Iceland,Italy,Spain,Greece,Switzerland,Belgium,Netherlands,Malaysia,Turkey,Colombia",Movie,17-02-2017,2019-02-26,Netflix,2019
6126,6126,6126,Beauty and the Bestie,2015,4.8,TV-14,"Action, Comedy, Drama","Filipino, Tagalog, Japanese, Korean",120,"Romania,Australia,Singapore,Russia,India,Hungary,Slovakia,Lithuania,United Kingdom,Canada,South Africa,Hong Kong,United States,Mexico,South Korea,Israel,Japan,Thailand,Argentina,Czech Republic,Portugal,Poland,France,Brazil,Iceland,Italy,Spain,Greece,Switzerland,Netherlands,Germany,Sweden,Belgium,Turkey,Malaysia,Colombia",Movie,25-12-2015,2019-02-26,Netflix,2019
6127,6127,6127,Rise: Ini Kalilah,2018,4.9,Not Rated,Drama,English,120,"Australia,Singapore,Russia,India,United Kingdom,Romania,Canada,Hong Kong,South Africa,Thailand,Lithuania,Czech Republic,United States,Greece,Slovakia,Malaysia,Hungary,Iceland,Israel",Movie,13-09-2018,2019-02-26,Netflix,2019
6128,6128,6128,Forever Enthralled,2008,6.6,Not Rated,"Biography, Drama, History",Mandarin,180,"Hong Kong,Thailand,Malaysia",Movie,05-12-2008,2019-02-25,Netflix,2019
6129,6129,6129,Hospital ship,2017,6.2,Not Rated,Romance,Korean,30,"Russia,Japan",Series,30-08-2017,2019-02-24,Netflix,2019
6130,6130,6130,The Scholar Who Walks the Night,2015,7.3,Not Rated,"Action, Fantasy, History, Romance",Korean,30,Russia,Series,08-07-2015,2019-02-24,Netflix,2019
6131,6131,6131,Le Voyage de Ricky,2017,5.8,PG,"Animation, Adventure, Comedy, Family, Fantasy",English,120,Belgium,Movie,30-06-2017,2019-02-23,Netflix,2019
6132,6132,6132,The Emperor Owner of the Mask,2017,7.4,Not Rated,"Drama, History, Romance",Korean,30,"Russia,Japan",Series,10-05-2017,2019-02-23,Netflix,2019
6133,6133,6133,La tortue rouge,2016,6.6,Not Rated,Documentary,French,120,South Korea,Movie,30-11-2016,2019-02-23,Netflix,2019
6134,6134,6134,The Swimmers,2014,5.8,Not Rated,"Drama, Horror",Thai,120,Thailand,Movie,07-08-2014,2019-02-23,Netflix,2019
6135,6135,6135,Coming Soon,2008,6.1,Not Rated,"Horror, Thriller",Thai,120,Thailand,Movie,30-10-2008,2019-02-23,Netflix,2019
6136,6136,6136,Alone,2007,6.5,Not Rated,"Drama, Horror, Thriller","Korean, Thai",120,Thailand,Movie,29-03-2007,2019-02-23,Netflix,2019
6137,6137,6137,The King 2 Hearts,2012,7.8,Not Rated,"Action, Drama, Romance",Korean,30,Russia,Series,21-03-2012,2019-02-23,Netflix,2019
6138,6138,6138,Second Act,2018,5.8,PG-13,"Comedy, Drama, Romance","English, Mandarin",120,"Japan,South Korea,Canada,Hungary,Malaysia,Slovakia,Romania,Australia,Singapore",Movie,21-12-2018,2019-02-23,Netflix,2019
6139,6139,6139,Heart Attack,2015,7.7,Not Rated,"Comedy, Drama, Romance",Thai,180,Thailand,Movie,03-09-2015,2019-02-23,Netflix,2019
6140,6140,6140,Firebrand,2019,5.2,Not Rated,Drama,Marathi,120,"Spain,United Kingdom,Canada,Hong Kong,Greece,United States,Australia,Japan,Singapore,Russia,France,Portugal,South Korea,India,Netherlands,Hungary,Poland,Sweden,Germany,Lithuania,Brazil,Slovakia,South Africa,Czech Republic,Switzerland,Argentina,Mexico,Belgium,Romania,Iceland,Israel,Italy,Thailand,Turkey,Malaysia,Colombia",Movie,22-02-2019,2019-02-22,Netflix,2019
